类型,母序列,子序列,采样点,关联系数
高钾,SrO,CaO,22,0.9471679137
高钾,SrO,CaO,27,0.9693814067
高钾,SrO,MgO,01,0.8747462532
高钾,SrO,MgO,03部位1,1
高钾,SrO,MgO,03部位2,0.779771301
高钾,SrO,MgO,04,0.7957018819
高钾,SrO,MgO,05,0.9879030291
高钾,SrO,MgO,06部位1,0.8433479076
高钾,SrO,MgO,06部位2,0.7852942317
高钾,SrO,MgO,07,1
高钾,SrO,MgO,09,1
高钾,SrO,MgO,10,1
高钾,SrO,MgO,12,1
高钾,SrO,MgO,13,1
高钾,SrO,MgO,14,0.9020175478
高钾,SrO,MgO,16,0.9087088524
高钾,SrO,MgO,18,0.9313008691
高钾,SrO,MgO,21,0.8327827958
高钾,SrO,MgO,22,0.9047037627
高钾,SrO,MgO,27,0.9183784519
高钾,SrO,Al2O3,01,0.9087502264
高钾,SrO,Al2O3,03部位1,0.9060154727
高钾,SrO,Al2O3,03部位2,0.7549505619
高钾,SrO,Al2O3,04,0.8587056206
高钾,SrO,Al2O3,05,0.9195883555
高钾,SrO,Al2O3,06部位1,0.8151667257
高钾,SrO,Al2O3,06部位2,0.7684270047
高钾,SrO,Al2O3,07,0.9518466096
高钾,SrO,Al2O3,09,0.9673740564
高钾,SrO,Al2O3,10,0.9797239453
高钾,SrO,Al2O3,12,0.9640381688
高钾,SrO,Al2O3,13,0.8640134574
高钾,SrO,Al2O3,14,0.8091737201
高钾,SrO,Al2O3,16,0.9726243905
高钾,SrO,Al2O3,18,0.8015047695
高钾,SrO,Al2O3,21,0.8634416241
高钾,SrO,Al2O3,22,0.9179147533
高钾,SrO,Al2O3,27,0.9397338686
高钾,SrO,Fe2O3,01,0.8595766316
高钾,SrO,Fe2O3,03部位1,1
高钾,SrO,Fe2O3,03部位2,0.792191951
高钾,SrO,Fe2O3,04,0.8379369213
高钾,SrO,Fe2O3,05,0.9679738265
高钾,SrO,Fe2O3,06部位1,0.7768571533
高钾,SrO,Fe2O3,06部位2,0.9911411369
高钾,SrO,Fe2O3,07,0.984289952
高钾,SrO,Fe2O3,09,0.9708324598
高钾,SrO,Fe2O3,10,0.9761710552
高钾,SrO,Fe2O3,12,0.9734944384
高钾,SrO,Fe2O3,13,0.7871569939
高钾,SrO,Fe2O3,14,0.9551613742
高钾,SrO,Fe2O3,16,0.8721331073
高钾,SrO,Fe2O3,18,0.7543859649
高钾,SrO,Fe2O3,21,0.8179877276
高钾,SrO,Fe2O3,22,0.9681849997
高钾,SrO,Fe2O3,27,0.9815686889
高钾,SrO,CuO,01,0.8117154812
高钾,SrO,CuO,03部位1,0.9553366926
高钾,SrO,CuO,03部位2,0.8620440219
高钾,SrO,CuO,04,0.8844359627
高钾,SrO,CuO,05,0.9232982844
高钾,SrO,CuO,06部位1,0.7346543373
高钾,SrO,CuO,06部位2,0.7005374538
高钾,SrO,CuO,07,0.8373820518
高钾,SrO,CuO,09,0.9149939673
高钾,SrO,CuO,10,0.9520657384
高钾,SrO,CuO,12,0.9100032726
高钾,SrO,CuO,13,0.7791164659
高钾,SrO,CuO,14,0.9726011426
高钾,SrO,CuO,16,0.8913345443
高钾,SrO,CuO,18,0.7543859649
高钾,SrO,CuO,21,0.8357042677
高钾,SrO,CuO,22,0.968086341
高钾,SrO,CuO,27,0.9154960492
高钾,SrO,PbO,01,1
高钾,SrO,PbO,03部位1,0.8947013731
高钾,SrO,PbO,03部位2,0.834262823
高钾,SrO,PbO,04,1
高钾,SrO,PbO,05,0.7818181818
高钾,SrO,PbO,06部位1,0.705479907
高钾,SrO,PbO,06部位2,0.7176836273
高钾,SrO,PbO,07,1
高钾,SrO,PbO,09,1
高钾,SrO,PbO,10,1
高钾,SrO,PbO,12,1
高钾,SrO,PbO,13,1
高钾,SrO,PbO,14,0.567330805
高钾,SrO,PbO,16,0.8816302814
高钾,SrO,PbO,18,0.7543859649
高钾,SrO,PbO,21,0.679918059
高钾,SrO,PbO,22,1
高钾,SrO,PbO,27,1
高钾,SrO,BaO,01,1
高钾,SrO,BaO,03部位1,1
高钾,SrO,BaO,03部位2,0.6843551891
高钾,SrO,BaO,04,1
高钾,SrO,BaO,05,0.7818181818
高钾,SrO,BaO,06部位1,0.9392759355
高钾,SrO,BaO,06部位2,0.8038848097
高钾,SrO,BaO,07,1
高钾,SrO,BaO,09,1
高钾,SrO,BaO,10,1
高钾,SrO,BaO,12,1
高钾,SrO,BaO,13,1
高钾,SrO,BaO,14,1
高钾,SrO,BaO,16,0.8431372549
高钾,SrO,BaO,18,0.7543859649
高钾,SrO,BaO,21,0.6104717839
高钾,SrO,BaO,22,1
高钾,SrO,BaO,27,1
高钾,SrO,P2O5,01,0.8718412146
高钾,SrO,P2O5,03部位1,0.9234276565
高钾,SrO,P2O5,03部位2,0.7261273754
高钾,SrO,P2O5,04,0.9097070623
高钾,SrO,P2O5,05,0.8613494941
高钾,SrO,P2O5,06部位1,0.9866370815
高钾,SrO,P2O5,06部位2,0.9928151779
高钾,SrO,P2O5,07,0.9288156559
高钾,SrO,P2O5,09,0.9578785217
高钾,SrO,P2O5,10,1
高钾,SrO,P2O5,12,0.9815027191
高钾,SrO,P2O5,13,0.8623947645
高钾,SrO,P2O5,14,0.9802938677
高钾,SrO,P2O5,16,0.8431372549
高钾,SrO,P2O5,18,0.8660167343
高钾,SrO,P2O5,21,0.8785778151
高钾,SrO,P2O5,22,0.9742940032
高钾,SrO,P2O5,27,0.9567271285
高钾,SrO,SnO2,01,1
高钾,SrO,SnO2,03部位1,1
高钾,SrO,SnO2,03部位2,0.6825396825
高钾,SrO,SnO2,04,1
高钾,SrO,SnO2,05,0.7818181818
高钾,SrO,SnO2,06部位1,0.6615384615
高钾,SrO,SnO2,06部位2,0.6417910448
高钾,SrO,SnO2,07,1
高钾,SrO,SnO2,09,1
高钾,SrO,SnO2,10,1
高钾,SrO,SnO2,12,1
高钾,SrO,SnO2,13,1
高钾,SrO,SnO2,14,1
高钾,SrO,SnO2,16,0.8431372549
高钾,SrO,SnO2,18,0.3333333333
高钾,SrO,SnO2,21,1
高钾,SrO,SnO2,22,1
高钾,SrO,SnO2,27,1
高钾,SrO,SO2,01,0.5735840805
高钾,SrO,SO2,03部位1,1
高钾,SrO,SO2,03部位2,0.6825396825
高钾,SrO,SO2,04,0.5930364006
高钾,SrO,SO2,05,0.6184862061
高钾,SrO,SO2,06部位1,0.6615384615
高钾,SrO,SO2,06部位2,0.6417910448
高钾,SrO,SO2,07,1
高钾,SrO,SO2,09,1
高钾,SrO,SO2,10,1
高钾,SrO,SO2,12,1
高钾,SrO,SO2,13,1
高钾,SrO,SO2,14,1
高钾,SrO,SO2,16,0.8431372549
高钾,SrO,SO2,18,0.7543859649
高钾,SrO,SO2,21,1
高钾,SrO,SO2,22,1
高钾,SrO,SO2,27,1
高钾,SnO2,SiO2,01,0.9086711675
高钾,SnO2,SiO2,03部位1,0.8879441845
高钾,SnO2,SiO2,03部位2,0.9178847779
高钾,SnO2,SiO2,04,0.9128196645
高钾,SnO2,SiO2,05,0.9180435868
高钾,SnO2,SiO2,06部位1,0.9106865845
高钾,SnO2,SiO2,06部位2,0.9202113113
高钾,SnO2,SiO2,07,0.8816116561
高钾,SnO2,SiO2,09,0.8789268809
高钾,SnO2,SiO2,10,0.8769713883
高钾,SnO2,SiO2,12,0.8797451807
高钾,SnO2,SiO2,13,0.9211944365
高钾,SnO2,SiO2,14,0.9169574552
高钾,SnO2,SiO2,16,0.9136660154
高钾,SnO2,SiO2,18,0.3466437177
高钾,SnO2,SiO2,21,0.8999575981
高钾,SnO2,SiO2,22,0.8819272641
高钾,SnO2,SiO2,27,0.8815102586
高钾,SnO2,Na2O,01,1
高钾,SnO2,Na2O,03部位1,1
高钾,SnO2,Na2O,03部位2,1
高钾,SnO2,Na2O,04,1
高钾,SnO2,Na2O,05,1
高钾,SnO2,Na2O,06部位1,1
高钾,SnO2,Na2O,06部位2,1
高钾,SnO2,Na2O,07,1
高钾,SnO2,Na2O,09,1
高钾,SnO2,Na2O,10,1
高钾,SnO2,Na2O,12,1
高钾,SnO2,Na2O,13,0.5931721195
高钾,SnO2,Na2O,14,0.5523178808
高钾,SnO2,Na2O,16,0.6650717703
高钾,SnO2,Na2O,18,0.3333333333
高钾,SnO2,Na2O,21,1
高钾,SnO2,Na2O,22,1
高钾,SnO2,Na2O,27,1
高钾,SnO2,K2O,01,0.8522298647
高钾,SnO2,K2O,03部位1,0.9173632673
高钾,SnO2,K2O,03部位2,0.8232478388
高钾,SnO2,K2O,04,0.8562829754
高钾,SnO2,K2O,05,0.8402975279
高钾,SnO2,K2O,06部位1,0.8865892129
高钾,SnO2,K2O,06部位2,0.8823799678
高钾,SnO2,K2O,07,1
高钾,SnO2,K2O,09,0.9898634138
高钾,SnO2,K2O,10,0.9842829077
高钾,SnO2,K2O,12,0.982771855
高钾,SnO2,K2O,13,0.8213700192
高钾,SnO2,K2O,14,0.8243078904
高钾,SnO2,K2O,16,0.7987107507
高钾,SnO2,K2O,18,0.3525470399
高钾,SnO2,K2O,21,1
高钾,SnO2,K2O,22,0.9873189958
高钾,SnO2,K2O,27,1
高钾,SnO2,CaO,01,0.8455711668
高钾,SnO2,CaO,03部位1,0.9451044654
高钾,SnO2,CaO,03部位2,0.8549722051
高钾,SnO2,CaO,04,0.8293588975
高钾,SnO2,CaO,05,0.8248122989
高钾,SnO2,CaO,06部位1,1
高钾,SnO2,CaO,06部位2,0.8648006997
高钾,SnO2,CaO,07,0.9700070077
高钾,SnO2,CaO,09,0.9823988644
高钾,SnO2,CaO,10,0.9939681172
高钾,SnO2,CaO,12,0.9796178344
高钾,SnO2,CaO,13,0.7990994112
高钾,SnO2,CaO,14,0.8078673982
高钾,SnO2,CaO,16,0.8071137026
高钾,SnO2,CaO,18,0.3333333333
高钾,SnO2,CaO,21,0.8801983976
高钾,SnO2,CaO,22,0.9542258376
高钾,SnO2,CaO,27,0.973554649
高钾,SnO2,MgO,01,0.8903591682
高钾,SnO2,MgO,03部位1,1
高钾,SnO2,MgO,03部位2,0.8642201835
高钾,SnO2,MgO,04,0.8191304348
高钾,SnO2,MgO,05,0.7996604414
高钾,SnO2,MgO,06部位1,0.7810945274
高钾,SnO2,MgO,06部位2,0.803297328
高钾,SnO2,MgO,07,1
高钾,SnO2,MgO,09,1
高钾,SnO2,MgO,10,1
高钾,SnO2,MgO,12,1
高钾,SnO2,MgO,13,1
高钾,SnO2,MgO,14,0.9145631068
高钾,SnO2,MgO,16,0.9314436388
高钾,SnO2,MgO,18,0.3592677346
高钾,SnO2,MgO,21,0.8527459264
高钾,SnO2,MgO,22,0.9169370539
高钾,SnO2,MgO,27,0.9289940828
高钾,SnO2,Al2O3,01,0.9205097087
高钾,SnO2,Al2O3,03部位1,0.9180956224
高钾,SnO2,Al2O3,03部位2,0.8921780043
高钾,SnO2,Al2O3,04,0.8760346487
高钾,SnO2,Al2O3,05,0.8585172609
高钾,SnO2,Al2O3,06部位1,0.8032121426
高钾,SnO2,Al2O3,06部位2,0.8191144708
高钾,SnO2,Al2O3,07,0.958307012
高钾,SnO2,Al2O3,09,0.9718129404
高钾,SnO2,Al2O3,10,0.9825129534
高钾,SnO2,Al2O3,12,0.9689163296
高钾,SnO2,Al2O3,13,0.880781885
高钾,SnO2,Al2O3,14,0.8313847278
高钾,SnO2,Al2O3,16,0.8804410911
高钾,SnO2,Al2O3,18,0.340949955
高钾,SnO2,Al2O3,21,0.880270793
高钾,SnO2,Al2O3,22,0.9285860029
高钾,SnO2,Al2O3,27,0.9477301125
高钾,SnO2,Fe2O3,01,0.8768141593
高钾,SnO2,Fe2O3,03部位1,1
高钾,SnO2,Fe2O3,03部位2,0.8514953592
高钾,SnO2,Fe2O3,04,0.8573901004
高钾,SnO2,Fe2O3,05,0.8253915362
高钾,SnO2,Fe2O3,06部位1,0.8382402707
高钾,SnO2,Fe2O3,06部位2,0.6721845319
高钾,SnO2,Fe2O3,07,0.9864595779
高钾,SnO2,Fe2O3,09,0.9748130657
高钾,SnO2,Fe2O3,10,0.9794385132
高钾,SnO2,Fe2O3,12,0.9771203156
高钾,SnO2,Fe2O3,13,0.811333115
高钾,SnO2,Fe2O3,14,0.9611951882
高钾,SnO2,Fe2O3,16,0.9672003124
高钾,SnO2,Fe2O3,18,0.3333333333
高钾,SnO2,Fe2O3,21,0.8393764825
高钾,SnO2,Fe2O3,22,0.9725166863
高钾,SnO2,Fe2O3,27,0.9841080652
高钾,SnO2,CuO,01,0.8336914482
高钾,SnO2,CuO,03部位1,0.9613478692
高钾,SnO2,CuO,03部位2,0.7921600653
高钾,SnO2,CuO,04,0.8989805375
高钾,SnO2,CuO,05,0.8557565064
高钾,SnO2,CuO,06部位1,0.8854404382
高钾,SnO2,CuO,06部位2,0.8989805375
高钾,SnO2,CuO,07,0.8568904594
高钾,SnO2,CuO,09,0.9260143198
高钾,SnO2,CuO,10,0.9584980237
高钾,SnO2,CuO,12,0.9216152019
高钾,SnO2,CuO,13,0.8039784501
高钾,SnO2,CuO,14,0.9763462506
高钾,SnO2,CuO,16,0.947728383
高钾,SnO2,CuO,18,0.3333333333
高钾,SnO2,CuO,21,0.8553791887
高钾,SnO2,CuO,22,0.9724310777
高钾,SnO2,CuO,27,0.9264565425
高钾,SnO2,PbO,01,1
高钾,SnO2,PbO,03部位1,0.9080882353
高钾,SnO2,PbO,03部位2,0.6365979381
高钾,SnO2,PbO,04,1
高钾,SnO2,PbO,05,1
高钾,SnO2,PbO,06部位1,0.925093633
高钾,SnO2,PbO,06部位2,0.8758865248
高钾,SnO2,PbO,07,1
高钾,SnO2,PbO,09,1
高钾,SnO2,PbO,10,1
高钾,SnO2,PbO,12,1
高钾,SnO2,PbO,13,1
高钾,SnO2,PbO,14,0.6039119804
高钾,SnO2,PbO,16,0.9573643411
高钾,SnO2,PbO,18,0.3333333333
高钾,SnO2,PbO,21,0.711815562
高钾,SnO2,PbO,22,1
高钾,SnO2,PbO,27,1
高钾,SnO2,BaO,01,1
高钾,SnO2,BaO,03部位1,1
高钾,SnO2,BaO,03部位2,0.5565891473
高钾,SnO2,BaO,04,1
高钾,SnO2,BaO,05,1
高钾,SnO2,BaO,06部位1,0.722334004
高钾,SnO2,BaO,06部位2,0.7872807018
高钾,SnO2,BaO,07,1
高钾,SnO2,BaO,09,1
高钾,SnO2,BaO,10,1
高钾,SnO2,BaO,12,1
高钾,SnO2,BaO,13,1
高钾,SnO2,BaO,14,1
高钾,SnO2,BaO,16,1
高钾,SnO2,BaO,18,0.3333333333
高钾,SnO2,BaO,21,0.6456834532
高钾,SnO2,BaO,22,1
高钾,SnO2,BaO,27,1
高钾,SnO2,P2O5,01,0.8877697842
高钾,SnO2,P2O5,03部位1,0.9334341906
高钾,SnO2,P2O5,03部位2,0.9296835761
高钾,SnO2,P2O5,04,0.9213539074
高钾,SnO2,P2O5,05,0.9077979402
高钾,SnO2,P2O5,06部位1,0.6888723483
高钾,SnO2,P2O5,06部位2,0.6728462377
高钾,SnO2,P2O5,07,0.9381652306
高钾,SnO2,P2O5,09,0.9635606455
高钾,SnO2,P2O5,10,1
高钾,SnO2,P2O5,12,0.9840510367
高钾,SnO2,P2O5,13,0.8793349169
高钾,SnO2,P2O5,14,0.9830058417
高钾,SnO2,P2O5,16,1
高钾,SnO2,P2O5,18,0.3505017989
高钾,SnO2,P2O5,21,0.8937711251
高钾,SnO2,P2O5,22,0.9778129952
高钾,SnO2,P2O5,27,0.9625585023
高钾,SnO2,SrO,01,1
高钾,SnO2,SrO,03部位1,1
高钾,SnO2,SrO,03部位2,0.7142857143
高钾,SnO2,SrO,04,1
高钾,SnO2,SrO,05,0.8064516129
高钾,SnO2,SrO,06部位1,0.6944444444
高钾,SnO2,SrO,06部位2,0.6756756757
高钾,SnO2,SrO,07,1
高钾,SnO2,SrO,09,1
高钾,SnO2,SrO,10,1
高钾,SnO2,SrO,12,1
高钾,SnO2,SrO,13,1
高钾,SnO2,SrO,14,1
高钾,SnO2,SrO,16,0.8620689655
高钾,SnO2,SrO,18,0.3676470588
高钾,SnO2,SrO,21,1
高钾,SnO2,SrO,22,1
高钾,SnO2,SrO,27,1
高钾,SnO2,SO2,01,0.61
高钾,SnO2,SO2,03部位1,1
高钾,SnO2,SO2,03部位2,1
高钾,SnO2,SO2,04,0.6288659794
高钾,SnO2,SO2,05,0.5648148148
高钾,SnO2,SO2,06部位1,1
高钾,SnO2,SO2,06部位2,1
高钾,SnO2,SO2,07,1
高钾,SnO2,SO2,09,1
高钾,SnO2,SO2,10,1
高钾,SnO2,SO2,12,1
高钾,SnO2,SO2,13,1
高钾,SnO2,SO2,14,1
高钾,SnO2,SO2,16,1
高钾,SnO2,SO2,18,0.3333333333
高钾,SnO2,SO2,21,1
高钾,SnO2,SO2,22,1
高钾,SnO2,SO2,27,1
高钾,SO2,SiO2,01,0.6498417692
高钾,SO2,SiO2,03部位1,0.8879441845
高钾,SO2,SiO2,03部位2,0.9178847779
高钾,SO2,SiO2,04,0.6690496886
高钾,SO2,SiO2,05,0.5948065407
高钾,SO2,SiO2,06部位1,0.9106865845
高钾,SO2,SiO2,06部位2,0.9202113113
高钾,SO2,SiO2,07,0.8816116561
高钾,SO2,SiO2,09,0.8789268809
高钾,SO2,SiO2,10,0.8769713883
高钾,SO2,SiO2,12,0.8797451807
高钾,SO2,SiO2,13,0.9211944365
高钾,SO2,SiO2,14,0.9169574552
高钾,SO2,SiO2,16,0.9136660154
高钾,SO2,SiO2,18,0.8967052538
高钾,SO2,SiO2,21,0.8999575981
高钾,SO2,SiO2,22,0.8819272641
高钾,SO2,SiO2,27,0.8815102586
高钾,SO2,Na2O,01,0.61
高钾,SO2,Na2O,03部位1,1
高钾,SO2,Na2O,03部位2,1
高钾,SO2,Na2O,04,0.6288659794
高钾,SO2,Na2O,05,0.5648148148
高钾,SO2,Na2O,06部位1,1
高钾,SO2,Na2O,06部位2,1
高钾,SO2,Na2O,07,1
高钾,SO2,Na2O,09,1
高钾,SO2,Na2O,10,1
高钾,SO2,Na2O,12,1
高钾,SO2,Na2O,13,0.5931721195
高钾,SO2,Na2O,14,0.5523178808
高钾,SO2,Na2O,16,0.6650717703
高钾,SO2,Na2O,18,1
高钾,SO2,Na2O,21,1
高钾,SO2,Na2O,22,1
高钾,SO2,Na2O,27,1
高钾,SO2,K2O,01,0.682150614
高钾,SO2,K2O,03部位1,0.9173632673
高钾,SO2,K2O,03部位2,0.8232478388
高钾,SO2,K2O,04,0.7030738469
高钾,SO2,K2O,05,0.6327363367
高钾,SO2,K2O,06部位1,0.8865892129
高钾,SO2,K2O,06部位2,0.8823799678
高钾,SO2,K2O,07,1
高钾,SO2,K2O,09,0.9898634138
高钾,SO2,K2O,10,0.9842829077
高钾,SO2,K2O,12,0.982771855
高钾,SO2,K2O,13,0.8213700192
高钾,SO2,K2O,14,0.8243078904
高钾,SO2,K2O,16,0.7987107507
高钾,SO2,K2O,18,0.8594763929
高钾,SO2,K2O,21,1
高钾,SO2,K2O,22,0.9873189958
高钾,SO2,K2O,27,1
高钾,SO2,CaO,01,0.6864776356
高钾,SO2,CaO,03部位1,0.9451044654
高钾,SO2,CaO,03部位2,0.8549722051
高钾,SO2,CaO,04,0.7223276353
高钾,SO2,CaO,05,0.6418094917
高钾,SO2,CaO,06部位1,1
高钾,SO2,CaO,06部位2,0.8648006997
高钾,SO2,CaO,07,0.9700070077
高钾,SO2,CaO,09,0.9823988644
高钾,SO2,CaO,10,0.9939681172
高钾,SO2,CaO,12,0.9796178344
高钾,SO2,CaO,13,0.7990994112
高钾,SO2,CaO,14,0.8078673982
高钾,SO2,CaO,16,0.8071137026
高钾,SO2,CaO,18,1
高钾,SO2,CaO,21,0.8801983976
高钾,SO2,CaO,22,0.9542258376
高钾,SO2,CaO,27,0.973554649
高钾,SO2,MgO,01,0.6595427207
高钾,SO2,MgO,03部位1,1
高钾,SO2,MgO,03部位2,0.8642201835
高钾,SO2,MgO,04,0.7302696795
高钾,SO2,MgO,05,0.6579116098
高钾,SO2,MgO,06部位1,0.7810945274
高钾,SO2,MgO,06部位2,0.803297328
高钾,SO2,MgO,07,1
高钾,SO2,MgO,09,1
高钾,SO2,MgO,10,1
高钾,SO2,MgO,12,1
高钾,SO2,MgO,13,1
高钾,SO2,MgO,14,0.9145631068
高钾,SO2,MgO,16,0.9314436388
高钾,SO2,MgO,18,0.8219895288
高钾,SO2,MgO,21,0.8527459264
高钾,SO2,MgO,22,0.9169370539
高钾,SO2,MgO,27,0.9289940828
高钾,SO2,Al2O3,01,0.6439193092
高钾,SO2,Al2O3,03部位1,0.9180956224
高钾,SO2,Al2O3,03部位2,0.8921780043
高钾,SO2,Al2O3,04,0.6902947312
高钾,SO2,Al2O3,05,0.6227841116
高钾,SO2,Al2O3,06部位1,0.8032121426
高钾,SO2,Al2O3,06部位2,0.8191144708
高钾,SO2,Al2O3,07,0.958307012
高钾,SO2,Al2O3,09,0.9718129404
高钾,SO2,Al2O3,10,0.9825129534
高钾,SO2,Al2O3,12,0.9689163296
高钾,SO2,Al2O3,13,0.880781885
高钾,SO2,Al2O3,14,0.8313847278
高钾,SO2,Al2O3,16,0.8804410911
高钾,SO2,Al2O3,18,0.9371911038
高钾,SO2,Al2O3,21,0.880270793
高钾,SO2,Al2O3,22,0.9285860029
高钾,SO2,Al2O3,27,0.9477301125
高钾,SO2,Fe2O3,01,0.6671773994
高钾,SO2,Fe2O3,03部位1,1
高钾,SO2,Fe2O3,03部位2,0.8514953592
高钾,SO2,Fe2O3,04,0.7023292135
高钾,SO2,Fe2O3,05,0.6414592107
高钾,SO2,Fe2O3,06部位1,0.8382402707
高钾,SO2,Fe2O3,06部位2,0.6721845319
高钾,SO2,Fe2O3,07,0.9864595779
高钾,SO2,Fe2O3,09,0.9748130657
高钾,SO2,Fe2O3,10,0.9794385132
高钾,SO2,Fe2O3,12,0.9771203156
高钾,SO2,Fe2O3,13,0.811333115
高钾,SO2,Fe2O3,14,0.9611951882
高钾,SO2,Fe2O3,16,0.9672003124
高钾,SO2,Fe2O3,18,1
高钾,SO2,Fe2O3,21,0.8393764825
高钾,SO2,Fe2O3,22,0.9725166863
高钾,SO2,Fe2O3,27,0.9841080652
高钾,SO2,CuO,01,0.6945120985
高钾,SO2,CuO,03部位1,0.9613478692
高钾,SO2,CuO,03部位2,0.7921600653
高钾,SO2,CuO,04,0.6766848504
高钾,SO2,CuO,05,0.6242450138
高钾,SO2,CuO,06部位1,0.8854404382
高钾,SO2,CuO,06部位2,0.8989805375
高钾,SO2,CuO,07,0.8568904594
高钾,SO2,CuO,09,0.9260143198
高钾,SO2,CuO,10,0.9584980237
高钾,SO2,CuO,12,0.9216152019
高钾,SO2,CuO,13,0.8039784501
高钾,SO2,CuO,14,0.9763462506
高钾,SO2,CuO,16,0.947728383
高钾,SO2,CuO,18,1
高钾,SO2,CuO,21,0.8553791887
高钾,SO2,CuO,22,0.9724310777
高钾,SO2,CuO,27,0.9264565425
高钾,SO2,PbO,01,0.61
高钾,SO2,PbO,03部位1,0.9080882353
高钾,SO2,PbO,03部位2,0.6365979381
高钾,SO2,PbO,04,0.6288659794
高钾,SO2,PbO,05,0.5648148148
高钾,SO2,PbO,06部位1,0.925093633
高钾,SO2,PbO,06部位2,0.8758865248
高钾,SO2,PbO,07,1
高钾,SO2,PbO,09,1
高钾,SO2,PbO,10,1
高钾,SO2,PbO,12,1
高钾,SO2,PbO,13,1
高钾,SO2,PbO,14,0.6039119804
高钾,SO2,PbO,16,0.9573643411
高钾,SO2,PbO,18,1
高钾,SO2,PbO,21,0.711815562
高钾,SO2,PbO,22,1
高钾,SO2,PbO,27,1
高钾,SO2,BaO,01,0.61
高钾,SO2,BaO,03部位1,1
高钾,SO2,BaO,03部位2,0.5565891473
高钾,SO2,BaO,04,0.6288659794
高钾,SO2,BaO,05,0.5648148148
高钾,SO2,BaO,06部位1,0.722334004
高钾,SO2,BaO,06部位2,0.7872807018
高钾,SO2,BaO,07,1
高钾,SO2,BaO,09,1
高钾,SO2,BaO,10,1
高钾,SO2,BaO,12,1
高钾,SO2,BaO,13,1
高钾,SO2,BaO,14,1
高钾,SO2,BaO,16,1
高钾,SO2,BaO,18,1
高钾,SO2,BaO,21,0.6456834532
高钾,SO2,BaO,22,1
高钾,SO2,BaO,27,1
高钾,SO2,P2O5,01,0.6609708124
高钾,SO2,P2O5,03部位1,0.9334341906
高钾,SO2,P2O5,03部位2,0.9296835761
高钾,SO2,P2O5,04,0.6645380763
高钾,SO2,P2O5,05,0.5991880705
高钾,SO2,P2O5,06部位1,0.6888723483
高钾,SO2,P2O5,06部位2,0.6728462377
高钾,SO2,P2O5,07,0.9381652306
高钾,SO2,P2O5,09,0.9635606455
高钾,SO2,P2O5,10,1
高钾,SO2,P2O5,12,0.9840510367
高钾,SO2,P2O5,13,0.8793349169
高钾,SO2,P2O5,14,0.9830058417
高钾,SO2,P2O5,16,1
高钾,SO2,P2O5,18,0.8718794159
高钾,SO2,P2O5,21,0.8937711251
高钾,SO2,P2O5,22,0.9778129952
高钾,SO2,P2O5,27,0.9625585023
高钾,SO2,SrO,01,0.61
高钾,SO2,SrO,03部位1,1
高钾,SO2,SrO,03部位2,0.7142857143
高钾,SO2,SrO,04,0.6288659794
高钾,SO2,SrO,05,0.6533847472
高钾,SO2,SrO,06部位1,0.6944444444
高钾,SO2,SrO,06部位2,0.6756756757
高钾,SO2,SrO,07,1
高钾,SO2,SrO,09,1
高钾,SO2,SrO,10,1
高钾,SO2,SrO,12,1
高钾,SO2,SrO,13,1
高钾,SO2,SrO,14,1
高钾,SO2,SrO,16,0.8620689655
高钾,SO2,SrO,18,0.78125
高钾,SO2,SrO,21,1
高钾,SO2,SrO,22,1
高钾,SO2,SrO,27,1
高钾,SO2,SnO2,01,0.61
高钾,SO2,SnO2,03部位1,1
高钾,SO2,SnO2,03部位2,1
高钾,SO2,SnO2,04,0.6288659794
高钾,SO2,SnO2,05,0.5648148148
高钾,SO2,SnO2,06部位1,1
高钾,SO2,SnO2,06部位2,1
高钾,SO2,SnO2,07,1
高钾,SO2,SnO2,09,1
高钾,SO2,SnO2,10,1
高钾,SO2,SnO2,12,1
高钾,SO2,SnO2,13,1
高钾,SO2,SnO2,14,1
高钾,SO2,SnO2,16,1
高钾,SO2,SnO2,18,0.3333333333
高钾,SO2,SnO2,21,1
高钾,SO2,SnO2,22,1
高钾,SO2,SnO2,27,1
铅钡,SiO2,Na2O,02,0.9192404148
铅钡,SiO2,Na2O,08,0.953642566
铅钡,SiO2,Na2O,08严重风化点,0.9892661461
铅钡,SiO2,Na2O,11,0.9248006975
铅钡,SiO2,Na2O,19,0.9330884234
铅钡,SiO2,Na2O,20,0.9170267992
铅钡,SiO2,Na2O,23未风化点,0.5894357596
铅钡,SiO2,Na2O,24,0.9282446876
铅钡,SiO2,Na2O,25未风化点,0.8944599172
铅钡,SiO2,Na2O,26,0.9544171335
铅钡,SiO2,Na2O,26严重风化点,0.9913884831
铅钡,SiO2,Na2O,28未风化点,0.8582400623
铅钡,SiO2,Na2O,29未风化点,0.9457091298
铅钡,SiO2,Na2O,30部位1,0.9232436815
铅钡,SiO2,Na2O,30部位2,0.9179068676
铅钡,SiO2,Na2O,31,0.8621441154
铅钡,SiO2,Na2O,32,0.8553307001
铅钡,SiO2,Na2O,33,0.8451364284
铅钡,SiO2,Na2O,34,0.9202688601
铅钡,SiO2,Na2O,35,0.8621441154
铅钡,SiO2,Na2O,36,0.8807229005
铅钡,SiO2,Na2O,37,0.8727368743
铅钡,SiO2,Na2O,38,0.9400342182
铅钡,SiO2,Na2O,39,0.9403205456
铅钡,SiO2,Na2O,40,0.9612879726
铅钡,SiO2,Na2O,41,0.9573720003
