分组口径,类型,风化,数据空间,成分,n,均值,标准差,最小值,Q1,中位数,Q3,最大值,偏度,超额峰度,CV
点位风化,高钾,无风化,closed,MgO,12,1.102537338,0.6922124374,0,0.6321003963,1.180450029,1.655564637,2.001617469,-0.4352746905,-1.053852936,0.6278358236
点位风化,高钾,无风化,closed,Al2O3,12,6.73855255,2.515070744,3.136246787,5.186723301,6.281418917,8.159219644,11.27173474,0.4390038377,-0.5582976751,0.3732360512
点位风化,高钾,无风化,closed,Fe2O3,12,1.968775878,1.690123277,0,0.4854843527,2.164479522,2.490756506,6.110886281,1.141095142,2.453739524,0.8584640312
点位风化,高钾,无风化,closed,CuO,12,2.500334921,1.691155416,0,1.010465908,2.403409456,3.532376869,5.147653722,0.07998726149,-1.097073435,0.676371554
点位风化,高钾,无风化,closed,PbO,12,0.4162854442,0.5956731063,0,0,0.1569804206,0.5193363192,1.636363636,1.371162208,0.403949919,1.430924657
点位风化,高钾,无风化,closed,BaO,12,0.6057032991,0.9941251026,0,0,0,1.084804721,2.892394822,1.49148244,1.226459759,1.641274043
点位风化,高钾,无风化,closed,P2O5,12,1.426007416,1.44862686,0,0.6959466019,1.045258448,1.320166668,4.552812626,1.665694096,1.853101504,1.01586208
点位风化,高钾,无风化,closed,SrO,12,0.0423781189,0.04906473824,0,0,0.02032313789,0.07926774736,0.1214083367,0.5536559527,-1.487389407,1.157784713
点位风化,高钾,无风化,closed,SnO2,12,0.2022279349,0.7005381158,0,0,0,0,2.426735219,3.464101615,12,3.464101615
点位风化,高钾,无风化,closed,SO2,12,0.1051092637,0.1918045279,0,0,0,0.09369144285,0.4869961662,1.397231879,0.06147038614,1.824810879
点位风化,高钾,无风化,paper_clr,SiO2,12,3.165686854,0.3632048188,2.266608607,3.04466346,3.152993728,3.339007551,3.712287605,-1.09372598,3.036563079,
点位风化,高钾,无风化,paper_clr,Na2O,12,-0.01358521375,0.2620012857,-0.7602766896,0,0,0,0.3201818481,-2.150622327,7.015733381,
点位风化,高钾,无风化,paper_clr,K2O,12,1.145963273,0.5431751671,0,0.9327265644,1.101373527,1.444992684,2.210661941,-0.1848566332,1.635378672,
点位风化,高钾,无风化,paper_clr,CaO,12,0.5990711474,0.5354726862,-0.1821885486,0.2641685335,0.6443073654,0.8162544471,1.647769441,0.3788939084,-0.1567021062,
点位风化,高钾,无风化,paper_clr,MgO,12,-0.6749681058,0.4731240538,-1.332161368,-1.025159063,-0.6506578096,-0.3477237457,0,0.06151906713,-1.292381777,
点位风化,高钾,无风化,paper_clr,Al2O3,12,0.7761039878,0.5156379255,0.006978463153,0.4345798086,0.6582289689,1.27403007,1.508083554,-0.03147983754,-1.409963594,
点位风化,高钾,无风化,paper_clr,Fe2O3,12,-0.3904643786,0.6350641178,-1.590841042,-0.6675876453,-0.2957741084,0,0.7479497418,-0.3945378544,0.4725403094,
点位风化,高钾,无风化,paper_clr,CuO,12,-0.2629417641,0.6103235207,-1.652716446,-0.4078414451,-0.1310643932,0.05278390838,0.5955305338,-1.180632665,1.577446212,
点位风化,高钾,无风化,paper_clr,PbO,12,-0.9873376888,1.102638602,-2.672139982,-2.141861704,-0.5517126523,0,0,-0.5522509026,-1.629147179,
点位风化,高钾,无风化,paper_clr,BaO,12,-0.1798230957,0.3546525647,-1.080913478,-0.1286913885,0,0,0.01907432804,-1.906416053,3.016385262,
点位风化,高钾,无风化,paper_clr,P2O5,12,-0.9384997879,0.9196411553,-2.730275325,-1.405015113,-1.066692234,-0.4835348088,0.5269553023,0.05756653273,0.3172551132,
点位风化,高钾,无风化,paper_clr,SrO,12,-1.723790166,1.810324287,-3.774602224,-3.403613746,-1.555315429,0,0,-0.03717577655,-2.376521246,
点位风化,高钾,无风化,paper_clr,SnO2,12,-0.007794679924,0.02700156331,-0.09353615908,0,0,0,0,-3.464101615,12,
点位风化,高钾,无风化,paper_clr,SO2,12,-0.5076203814,0.9259005976,-2.240722645,-0.429053523,0,0,0,-1.388056202,-0.01145489767,
点位风化,铅钡,风化,raw,SiO2,26,24.91269231,10.60547729,3.72,18.7925,25.015,30.2025,53.33,0.312974896,1.229613089,0.425705787
点位风化,铅钡,风化,raw,Na2O,26,0.2161538462,0.5566476582,0,0,0,0,2.22,2.665893443,6.743093608,2.575238276
点位风化,铅钡,风化,raw,K2O,26,0.1334615385,0.2399657027,0,0,0,0.24,1.05,2.512185691,7.793215821,1.798013911
点位风化,铅钡,风化,raw,CaO,26,2.695384615,1.659778855,0,1.3425,2.875,3.505,6.4,0.3833731736,-0.4609049295,0.615785534
点位风化,铅钡,风化,raw,MgO,26,0.65,0.7064332948,0,0,0.57,1.1625,2.73,1.037022365,1.209150428,1.086820454
点位风化,铅钡,风化,raw,Al2O3,26,2.97,2.63426802,0.45,1.405,2.38,3.5575,13.65,2.829242813,10.63846103,0.8869589292
点位风化,铅钡,风化,raw,Fe2O3,26,0.5846153846,0.7365336694,0,0,0.305,0.9875,2.74,1.40355319,1.525334615,1.259860224
点位风化,铅钡,风化,raw,CuO,26,2.275769231,2.820523601,0,0.7075,1.145,3.1375,10.57,2.100554563,4.153564686,1.239371533
点位风化,铅钡,风化,raw,PbO,26,43.31384615,12.23022488,15.71,35.4725,44.06,48.84,70.21,-0.03259586481,0.2327265934,0.2823629386
点位风化,铅钡,风化,raw,BaO,26,11.80730769,9.978271016,0,6.7775,8.79,14.5075,35.45,1.278133861,0.8380737039,0.8450928252
点位风化,铅钡,风化,raw,P2O5,26,5.277307692,4.196700187,0,1.3125,4.975,8.5875,14.13,0.4000916635,-0.8241622811,0.7952350767
点位风化,铅钡,风化,raw,SrO,26,0.4184615385,0.2648424786,0,0.225,0.425,0.59,1.12,0.5444416784,0.77664507,0.632895629
点位风化,铅钡,风化,raw,SnO2,26,0.06846153846,0.2694541491,0,0,0,0,1.31,4.36519188,19.78683985,3.935847122
点位风化,铅钡,风化,raw,SO2,26,1.366153846,4.206069973,0,0,0,0,15.95,3.260507901,9.634253658,3.078767435
点位风化,铅钡,风化,closed,SiO2,26,25.75270836,10.73911848,3.724096506,19.85429296,26.19758742,31.39464815,53.77634365,0.1875946629,1.109431049,0.4170092845
点位风化,铅钡,风化,closed,Na2O,26,0.2222067613,0.5719871665,0,0,0,0,2.273891222,2.655846592,6.653259251,2.574121342
点位风化,铅钡,风化,closed,K2O,26,0.1357323909,0.2422567302,0,0,0,0.2473054683,1.051156272,2.452553381,7.38317241,1.784811486
点位风化,铅钡,风化,closed,CaO,26,2.804417918,1.75645136,0,1.423155927,2.905195035,3.644163743,6.620461363,0.4246041012,-0.5064266276,0.6263158387
点位风化,铅钡,风化,closed,MgO,26,0.6775372611,0.7419128033,0,0,0.5910083505,1.172293185,2.913242984,1.112602916,1.552174009,1.095014025
点位风化,铅钡,风化,closed,Al2O3,26,3.063830756,2.659997293,0.4565283555,1.416522392,2.49185501,3.602166869,13.76424322,2.755037228,10.23887513,0.8681932864
点位风化,铅钡,风化,closed,Fe2O3,26,0.6058250875,0.7640068343,0,0,0.3109876332,0.9966648864,2.869109948,1.432118943,1.68395758,1.261101348
点位风化,铅钡,风化,closed,CuO,26,2.329744731,2.838093903,0,0.7414547373,1.253824664,3.189515382,10.58906031,2.049381397,3.892440625,1.218199516
点位风化,铅钡,风化,closed,PbO,26,44.88751349,12.74451824,15.84148432,36.80394854,46.6864643,50.30927435,71.22856853,-0.1735879544,0.04847795779,0.2839212344
点位风化,铅钡,风化,closed,BaO,26,12.16136921,10.06715302,0,6.856118393,9.280811874,15.64004134,35.48903794,1.183096586,0.5952758199,0.8277976639
点位风化,铅钡,风化,closed,P2O5,26,5.480526526,4.374629866,0,1.329843,5.150344821,8.829850208,14.57903426,0.385557712,-0.8908099156,0.7982134282
点位风化,铅钡,风化,closed,SrO,26,0.4313180272,0.2736425796,0,0.2299494038,0.4333797589,0.5981180069,1.155592241,0.5239923635,0.70418553,0.6344334397
点位风化,铅钡,风化,closed,SnO2,26,0.06976877819,0.2728705952,0,0,0,0,1.320964001,4.321937095,19.38994178,3.911070285
点位风化,铅钡,风化,closed,SO2,26,1.377500698,4.24373122,0,0,0,0,15.96756432,3.259363931,9.614927791,3.080747055
点位风化,铅钡,风化,paper_clr,SiO2,26,1.900817987,0.8245100613,-0.1313528701,1.560129788,1.901944357,2.300502534,3.460126437,-0.6873078429,1.430650261,
点位风化,铅钡,风化,paper_clr,Na2O,26,-0.05932863539,0.2820619644,-1.093837093,0,0,0,0.5795623776,-2.040034865,8.032548933,
点位风化,铅钡,风化,paper_clr,K2O,26,-0.7145439198,1.044624226,-2.821845316,-1.943402008,0,0,0,-0.8973642208,-1.087841747,
点位风化,铅钡,风化,paper_clr,CaO,26,-0.3305356968,0.6244524049,-1.578789035,-0.9021586385,-0.04681131928,0.08463926496,0.4973577254,-0.6427380894,-0.9138554271,
点位风化,铅钡,风化,paper_clr,MgO,26,-0.679420709,0.6967332822,-1.835277257,-1.390454726,-0.5939998361,0,0,-0.2969770298,-1.63124947,
点位风化,铅钡,风化,paper_clr,Al2O3,26,-0.3874050467,0.8620531301,-1.826181527,-1.053035018,-0.2999925694,0.1948943552,1.74304598,0.1516476099,0.1109795616,
点位风化,铅钡,风化,paper_clr,Fe2O3,26,-0.8429912842,0.8735842911,-2.575747277,-1.347598004,-0.6814835673,0,0,-0.6025210472,-0.9838098343,
点位风化,铅钡,风化,paper_clr,CuO,26,-0.7664478054,0.9429318366,-2.764779222,-1.364237388,-0.9125906463,-0.003630508349,0.8885132166,-0.1287310654,-0.6121982156,
点位风化,铅钡,风化,paper_clr,PbO,26,2.533694691,0.5166770834,1.794038351,2.017350463,2.538344694,2.915106601,3.510395705,0.1696153147,-1.089127733,
点位风化,铅钡,风化,paper_clr,BaO,26,1.072344718,0.6874738578,-0.1812752926,0.6884869866,1.060220031,1.565679659,2.167893378,-0.2098159441,-0.7691431163,
点位风化,铅钡,风化,paper_clr,P2O5,26,0.09737414661,1.012518491,-2.877204855,-0.3401457874,0.3606265366,0.9073895575,1.188783691,-1.272767221,1.540771021,
点位风化,铅钡,风化,paper_clr,SrO,26,-1.764480517,0.7700473176,-2.930869278,-2.256603387,-1.868668138,-1.515037942,0,1.226419901,1.311201026,
点位风化,铅钡,风化,paper_clr,SnO2,26,-0.09787646861,0.3945293268,-1.94412178,0,0,0,0,-4.514520995,21.13693368,
点位风化,铅钡,风化,paper_clr,SO2,26,0.03879854058,0.3975472717,-0.7965621101,0,0,0,1.369228955,1.743166161,6.479864778,
点位风化,高钾,风化,raw,SiO2,6,93.96333333,1.733616644,92.35,92.6525,93.505,94.8375,96.77,0.854018054,-0.3884118384,0.01844992703
点位风化,高钾,风化,raw,Na2O,6,0,0,0,0,0,0,0,,,
点位风化,高钾,风化,raw,K2O,6,0.5433333333,0.4451816109,0,0.1475,0.665,0.875,1.01,-0.5372976537,-1.912975195,0.8193526581
点位风化,高钾,风化,raw,CaO,6,0.87,0.4877704378,0.21,0.645,0.83,1.0375,1.66,0.5037968756,0.987745269,0.5606556756
点位风化,高钾,风化,raw,MgO,6,0.1966666667,0.3063113884,0,0,0,0.405,0.64,1.01439414,-1.597713614,1.557515534
点位风化,高钾,风化,raw,Al2O3,6,1.93,0.9644895023,0.81,1.355,1.72,2.3775,3.5,0.7788833818,0.1806895939,0.4997354934
点位风化,高钾,风化,raw,Fe2O3,6,0.265,0.06949820142,0.17,0.215,0.275,0.3125,0.35,-0.3002892851,-1.417769376,0.2622573638
点位风化,高钾,风化,raw,CuO,6,1.561666667,0.9348244042,0.55,1.015,1.545,1.625,3.24,1.218065893,2.231411711,0.5986068757
点位风化,高钾,风化,raw,PbO,6,0,0,0,0,0,0,0,,,
点位风化,高钾,风化,raw,BaO,6,0,0,0,0,0,0,0,,,
点位风化,高钾,风化,raw,P2O5,6,0.28,0.2099523756,0,0.165,0.28,0.3575,0.61,0.3987162971,0.3716905577,0.7498299127
点位风化,高钾,风化,raw,SrO,6,0,0,0,0,0,0,0,,,
点位风化,高钾,风化,raw,SnO2,6,0,0,0,0,0,0,0,,,
点位风化,高钾,风化,raw,SO2,6,0,0,0,0,0,0,0,,,
点位风化,高钾,风化,closed,SiO2,6,94.33097386,1.675201569,92.35,93.14070869,94.26692708,95.10358685,96.954213,0.5154873064,-0.2411275584,0.0177587647
点位风化,高钾,风化,closed,Na2O,6,0,0,0,0,0,0,0,,,
点位风化,高钾,风化,closed,K2O,6,0.5445788686,0.4464224944,0,0.1478400321,0.6656800641,0.8763134956,1.014361756,-0.5331296504,-1.908930579,0.8197572844
点位风化,高钾,风化,closed,CaO,6,0.8732464654,0.4879313036,0.2103997595,0.6468493081,0.8372150434,1.042744923,1.66,0.4774416172,0.9419049716,0.5587555437
点位风化,高钾,风化,closed,MgO,6,0.1977505651,0.30777727,0,0,0,0.4098775428,0.64,1.008237264,-1.634621717,1.556391356
点位风化,高钾,风化,closed,Al2O3,6,1.937846106,0.9668918465,0.8115419297,1.358858527,1.726131493,2.40166101,3.5,0.7516661232,0.06795383286,0.4989518226
点位风化,高钾,风化,closed,Fe2O3,6,0.26590087,0.06911157685,0.1705115346,0.2169302324,0.2758736628,0.3133663688,0.35,-0.3163302747,-1.386037136,0.2599148203
点位风化,高钾,风化,closed,CuO,6,1.568432308,0.9381367326,0.55,1.019592583,1.556059962,1.632480907,3.249749248,1.203839767,2.196060027,0.5981365772
点位风化,高钾,风化,closed,PbO,6,0,0,0,0,0,0,0,,,
点位风化,高钾,风化,closed,BaO,6,0,0,0,0,0,0,0,,,
点位风化,高钾,风化,closed,P2O5,6,0.2812709569,0.210837952,0,0.1654858391,0.2804034279,0.3609534091,0.6118355065,0.3901295346,0.3344833055,0.749590197
点位风化,高钾,风化,closed,SrO,6,0,0,0,0,0,0,0,,,
点位风化,高钾,风化,closed,SnO2,6,0,0,0,0,0,0,0,,,
点位风化,高钾,风化,closed,SO2,6,0,0,0,0,0,0,0,,,
点位风化,高钾,风化,paper_clr,SiO2,6,4.187044865,0.1873876936,3.830498276,4.180163869,4.246027057,4.262904437,4.372977095,-1.731995181,3.641136233,
点位风化,高钾,风化,paper_clr,Na2O,6,0,0,0,0,0,0,0,,,
点位风化,高钾,风化,paper_clr,K2O,6,-0.3284779771,0.32750848,-0.8240683296,-0.5149017562,-0.2772555194,-0.06794237393,0,-0.5885699231,-0.8674760357,
点位风化,高钾,风化,paper_clr,CaO,6,-0.6648166858,0.639727277,-1.760007682,-0.738467576,-0.6203400161,-0.4745873832,0.2156342013,-0.7094830745,2.287841527,
点位风化,高钾,风化,paper_clr,MgO,6,-0.2868594087,0.4511697834,-0.9836859488,-0.5531028778,0,0,0,-1.095736014,-1.112630534,
点位风化,高钾,风化,paper_clr,Al2O3,6,0.1945293936,0.4860563263,-0.4100809655,-0.01785737378,0.04084933338,0.4387663601,0.9615795674,0.6699126941,0.02539008711,
点位风化,高钾,风化,paper_clr,Fe2O3,6,-1.714985419,0.4296808351,-2.470071629,-1.869311687,-1.533013882,-1.456800949,-1.341005526,-1.369694513,1.095297337,
点位风化,高钾,风化,paper_clr,CuO,6,-0.06001962811,0.4916506324,-0.8890204018,-0.2642143392,0.1030509752,0.1997464318,0.4774585427,-1.043687769,0.6195981607,
点位风化,高钾,风化,paper_clr,PbO,6,0,0,0,0,0,0,0,,,
点位风化,高钾,风化,paper_clr,BaO,6,0,0,0,0,0,0,0,,,
点位风化,高钾,风化,paper_clr,P2O5,6,-1.32641514,0.7462377008,-2.178839811,-1.736161126,-1.367704384,-1.23087276,0,1.13440735,2.101884233,
点位风化,高钾,风化,paper_clr,SrO,6,0,0,0,0,0,0,0,,,
点位风化,高钾,风化,paper_clr,SnO2,6,0,0,0,0,0,0,0,,,
点位风化,高钾,风化,paper_clr,SO2,6,0,0,0,0,0,0,0,,,
点位风化,铅钡,无风化,raw,SiO2,23,54.65956522,11.82858997,31.94,49.81,54.61,63.48,75.51,-0.3707773578,-0.5377381829,0.2164047578
点位风化,铅钡,无风化,raw,Na2O,23,1.682608696,2.371635832,0,0,0,2.875,7.92,1.28655731,0.7580527118,1.409499332
点位风化,铅钡,无风化,raw,K2O,23,0.2186956522,0.3100631072,0,0,0.15,0.275,1.41,2.882879775,10.06090128,1.417783591
点位风化,铅钡,无风化,raw,CaO,23,1.320434783,1.284698331,0,0.485,0.84,1.84,4.49,1.346621751,1.030127963,0.9729358452
点位风化,铅钡,无风化,raw,MgO,23,0.6404347826,0.5467547087,0,0,0.71,1.045,1.67,0.08523218513,-1.240728361,0.8537242566
点位风化,铅钡,无风化,raw,Al2O3,23,4.456086957,3.262448522,1.42,2.355,3.86,5.225,14.34,1.987966975,4.233066183,0.7321330471
点位风化,铅钡,无风化,raw,Fe2O3,23,0.7365217391,1.154731802,0,0,0,1.135,4.59,2.071616081,4.768329606,1.567817676
点位风化,铅钡,无风化,raw,CuO,23,1.43173913,1.969867675,0,0.435,0.65,1.895,8.46,2.461359571,6.877023513,1.37585656
点位风化,铅钡,无风化,raw,PbO,23,22.08478261,8.215147246,9.3,16.355,20.12,27.27,39.22,0.6198780347,-0.4563398248,0.3719822554
点位风化,铅钡,无风化,raw,BaO,23,9.00173913,5.825284739,2.03,5.05,8.99,10.41,26.23,1.797361793,3.757720165,0.6471288109
点位风化,铅钡,无风化,raw,P2O5,23,1.049130435,1.847056413,0,0.04,0.19,1.225,6.34,2.16695332,3.724281304,1.760559366
点位风化,铅钡,无风化,raw,SrO,23,0.2682608696,0.2434534149,0,0.06,0.26,0.34,0.91,1.231087558,1.959574151,0.9075248853
点位风化,铅钡,无风化,raw,SnO2,23,0.04652173913,0.1273366581,0,0,0,0,0.44,2.634171865,5.815738845,2.737143119
点位风化,铅钡,无风化,raw,SO2,23,0.1591304348,0.7631627554,0,0,0,0,3.66,4.795831523,23,4.795831523
点位风化,铅钡,无风化,closed,SiO2,23,55.82797763,11.60028827,32.30177994,51.49690162,55.74093264,64.0849722,75.54021609,-0.432019098,-0.3779295944,0.2077862887
点位风化,铅钡,无风化,closed,Na2O,23,1.724173827,2.437786755,0,0,0,2.949476874,8.207253886,1.306403169,0.8527571511,1.413886881
点位风化,铅钡,无风化,closed,K2O,23,0.2257616718,0.3225339722,0,0,0.1530456076,0.2808105324,1.439509954,2.801774483,9.255849215,1.42864805
点位风化,铅钡,无风化,closed,CaO,23,1.343335276,1.306080676,0,0.4967291698,0.8541793777,1.871392259,4.583971414,1.351425837,1.052882852,0.9722670869
点位风化,铅钡,无风化,closed,MgO,23,0.6509293666,0.5539339249,0,0,0.7357512953,1.062702652,1.693196796,0.06918055225,-1.256779362,0.8509892982
点位风化,铅钡,无风化,closed,Al2O3,23,4.549823715,3.284292102,1.471502591,2.371496947,3.910840932,5.43290533,14.35722867,1.91485118,3.922377596,0.7218504073
点位风化,铅钡,无风化,closed,Fe2O3,23,0.7562980857,1.179597253,0,0,0,1.153167221,4.663212435,2.028186312,4.535101925,1.559698848
点位风化,铅钡,无风化,closed,CuO,23,1.480091534,2.041284554,0,0.4404178902,0.6683117417,1.939068611,8.555825243,2.376128461,6.132697245,1.379161023
点位风化,铅钡,无风化,closed,PbO,23,22.57581597,8.394935378,10.51917204,16.53694703,20.55158325,27.79281562,40.04083716,0.6411147388,-0.5461835165,0.3718552361
点位风化,铅钡,无风化,closed,BaO,23,9.287781686,6.2309417,2.032438927,5.10631199,9.150127226,10.59397164,26.63725823,1.879805456,3.924610378,0.6708751251
点位风化,铅钡,无风化,closed,P2O5,23,1.098561924,1.969069659,0,0.04081216202,0.195755203,1.241188136,6.540127914,2.218087813,3.951096311,1.792406614
点位风化,铅钡,无风化,closed,SrO,23,0.2730166187,0.2479555232,0,0.06079643328,0.2623083132,0.3495376648,0.9203074434,1.23404254,1.959610978,0.9082067032
点位风化,铅钡,无风化,closed,SnO2,23,0.04727043269,0.1294079532,0,0,0,0,0.4457953394,2.63444999,5.813170954,2.737608815
点位风化,铅钡,无风化,closed,SO2,23,0.1591622672,0.7633154185,0,0,0,0,3.660732146,4.795831523,23,4.795831523
点位风化,铅钡,无风化,paper_clr,SiO2,23,3.06440111,0.5658267424,1.85952359,2.627791989,3.17483028,3.399023638,3.937306649,-0.360378672,-0.5450556955,
点位风化,铅钡,无风化,paper_clr,Na2O,23,0.1281998421,0.3743923255,-0.703632634,0,0,0.1852458558,1.043857584,0.9380730225,2.150251218,
点位风化,铅钡,无风化,paper_clr,K2O,23,-1.435401572,1.157993822,-2.97002301,-2.41687898,-1.900572275,0,0,0.2923796198,-1.707678762,
点位风化,铅钡,无风化,paper_clr,CaO,23,-0.6183826517,0.7075339886,-1.99083656,-1.121526858,-0.8019599863,0,0.4716722755,-0.235320448,-0.9092329564,
点位风化,铅钡,无风化,paper_clr,MgO,23,-0.6232163059,0.6366277251,-1.841063171,-1.121452138,-0.4543907314,0,0,-0.6321498556,-0.9334995181,
点位风化,铅钡,无风化,paper_clr,Al2O3,23,0.379358592,0.7323116881,-0.8471066277,-0.0474484408,0.3084369449,0.8157199671,2.04280181,0.3197885264,0.2452208593,
点位风化,铅钡,无风化,paper_clr,Fe2O3,23,-0.3521960787,0.6260325702,-2.26490362,-0.5334525818,0,0,0.5545038057,-1.599342764,2.815327589,
点位风化,铅钡,无风化,paper_clr,CuO,23,-0.9472203474,0.8767596641,-2.58009736,-1.486795718,-1.09767858,-0.1429769059,0.8995351977,0.2207294288,-0.4605284945,
点位风化,铅钡,无风化,paper_clr,PbO,23,2.116954348,0.5067509338,0.4689373769,1.84436682,2.240764151,2.494323476,2.70462076,-1.652010279,3.895159032,
点位风化,铅钡,无风化,paper_clr,BaO,23,1.112712077,0.4682522877,0.08778476803,0.7961224715,1.187465011,1.415706774,2.031089818,-0.3960493618,0.0508872743,
点位风化,铅钡,无风化,paper_clr,P2O5,23,-1.089220702,1.282829491,-3.22933027,-2.343604383,-0.6516309116,0,0.6220017366,-0.3979837285,-1.394590188,
点位风化,铅钡,无风化,paper_clr,SrO,23,-1.495371412,0.9822347877,-2.694553002,-2.206405677,-2.006545386,-0.4126084242,0,0.7547482095,-1.179234335,
点位风化,铅钡,无风化,paper_clr,SnO2,23,-0.2522428043,0.6677939162,-2.078029632,0,0,0,0,-2.37694995,4.047815548,
点位风化,铅钡,无风化,paper_clr,SO2,23,0.01162590435,0.05575587857,0,0,0,0,0.2673958001,4.795831523,23,
